Node	Category	Representativeness	Raw_occurrence	Betweenness_centrality	Closeness_centrality	Strength	Wscore	Knode	Knode_rank	Community_membership
1-(5-isoquinolinesulfonyl)-2-methylpiperazine/analogs & derivatives	MESH	0.006369427	1	0	0.695828189	3.548319564	0.203567225	298.465777	484	1
1-methyl-4-phenyl-1236-tetrahydropyridine	MESH	0.006369427	1	0	0.766468314	4.7722892	0.369023691	360.934333	33	2
1-methyl-4-phenylpyridinium/metabolism	MESH	0.006369427	1	0	0.699857076	3.844012861	0.245396107	306.6680471	455	3
1-methyl-4-phenylpyridinium/toxicity	MESH	0.006369427	1	0	0.715693326	3.548319564	0.203567225	326.028967	303	4
ABCB1	GENE	0.012738854	2	13.5	0.848278074	7.007349048	0.573627081	342.3911225	114	5
ABCC1	GENE	0.012738854	2	13.5	0.848278074	7.007349048	0.573627081	342.3911225	113	5
ACAD9	GENE	0.006369427	1	0	0.731348322	5.369862755	0.397839143	360.2208939	34	6
AFAP1-AS1	GENE	0.006369427	1	0	0.725396794	3.213829697	0.103177909	309.6906432	449	2
AIFM1	GENE	0.031847134	5	878.6130435	0.7904459	15.16191803	0.836867361	388.8099324	2	7
AKT1	GENE	0.095541401	15	2525.75	1.243554672	11.05278762	0.823763392	204.1120064	644	5
ANXA5	GENE	0.006369427	1	0.56295878	0.631552449	9.345795794	0.600573412	340.5639027	122	7
ATF6	GENE	0.006369427	1	0	0.686223477	3.252626267	0.130134299	278.7454472	580	3
ATG7	GENE	0.006369427	1	0.56295878	0.631552449	9.345795794	0.600573412	340.5639027	133	7
ATP13A2	GENE	0.006369427	1	0	0.739723647	3.484752325	0.166385997	324.7199903	329	8
ATXN1	GENE	0.006369427	1	0	0.748074692	2.934450979	0.059489965	343.0114937	103	9
BCL2	GENE	0.114649682	18	17	1.243552841	7.09534071	0.587632413	204.2989054	643	5
BECN1	GENE	0.006369427	1	0.56295878	0.631552449	9.345795794	0.600573412	340.5639027	132	7
BNIP3	GENE	0.006369427	1	0.56295878	0.631552449	9.345795794	0.600573412	340.5639027	139	7
C3	GENE	0.006369427	1	0	0.695828189	3.548319564	0.203567225	298.465777	491	1
CA2	GENE	0.01910828	3	28	0.969321541	10.26411217	0.698250591	289.2595108	543	4
CASP12	GENE	0.01980198	2	285	0.624143563	9.727121333	0.741236356	329.1889328	265	7
CASP2	GENE	0.012738854	2	13.9	0.706726377	6.142218586	0.528886877	303.5622199	469	3
CASP3	GENE	0.222929936	35	9	0.771058749	6.010828912	0.506051003	354.697503	64	5
CASP8	GENE	0.184713376	29	9976.875	1.243555898	10.13706337	0.834275942	204.1024918	646	5
CASP9	GENE	0.178343949	28	3090.625	1.243555862	9.318366728	0.761394296	204.1077354	645	5
CD4	GENE	0.006369427	1	0.058823529	0.732640081	6.209559237	0.484758312	355.8637203	47	10
CD44	GENE	0.006369427	1	0	0.769704892	3.8197622	0.225875962	335.5230733	176	8
CD83	GENE	0.006369427	1	0.058823529	0.732640081	6.209559237	0.484758312	355.8637203	53	10
CD86	GENE	0.006369427	1	0.058823529	0.732640081	6.209559237	0.484758312	355.8637203	58	10
CFLAR	GENE	0.006369427	1	0	0.734243229	3.890848533	0.255620945	332.5309059	200	3
CHCHD10	GENE	0.01910828	3	0	0.957289916	8.21728339	0.518678135	299.1952865	483	11
CHCHD2	GENE	0.01910828	3	1	1.198110842	9.036824018	0.577725467	222.4203462	629	11
CIITA	GENE	0.006369427	1	0.058823529	0.732640081	6.209559237	0.484758312	355.8637203	54	10
COMP	GENE	0.006369427	1	0	0.717695502	4.435399455	0.320688094	314.3516677	428	3
CRTAP	GENE	0.006369427	1	0.56295878	0.631552449	9.345795794	0.600573412	340.5639027	130	7
CUX1	GENE	0.006369427	1	0.56295878	0.631552449	9.345795794	0.600573412	340.5639027	124	7
CYCS	GENE	0.006369427	1	0.56295878	0.631552449	9.345795794	0.600573412	340.5639027	123	7
CYP3A4	GENE	0.006369427	1	0	0.751042977	3.890848533	0.255620945	352.2438699	71	11
CYTIP	GENE	0.006369427	1	0.56295878	0.631552449	9.345795794	0.600573412	340.5639027	140	7
DENR	GENE	0.006369427	1	0.56295878	0.631552449	9.345795794	0.600573412	340.5639027	128	7
DNM1L	GENE	0.006369427	1	0.56295878	0.631552449	9.345795794	0.600573412	340.5639027	136	7
FOS	GENE	0.006369427	1	0	0.735725479	5.618172643	0.425725064	361.5087594	19	10
FOSB	GENE	0.006369427	1	0	0.735725479	5.618172643	0.425725064	361.5087594	25	10
FOSL2	GENE	0.006369427	1	0	0.735725479	5.618172643	0.425725064	361.5087594	26	10
FUS	GENE	0.006369427	1	0	0.769589168	4.137179575	0.274211559	332.0296337	206	4
GABPA	GENE	0.006369427	1	0	0.761020753	3.466980741	0.154302097	330.2669744	247	2
GAPDH	GENE	0.006369427	1	0.56295878	0.631552449	9.345795794	0.600573412	340.5639027	131	7
GATA4	GENE	0.006369427	1	0	0.72371906	1.478466485	0.001859061	325.8697257	309	8
GBA	GENE	0.006369427	1	0	0.740309514	4.413542391	0.313251848	332.734978	193	8
GCG	GENE	0.006369427	1	0	0.627676655	3.844012861	0.245396107	284.6105411	559	6
GFI1	GENE	0.006369427	1	0	0.748074692	2.934450979	0.059489965	343.0114937	104	9
GSK3B	GENE	0.012738854	2	30	0.76881958	8.295177325	0.644474624	330.4129942	240	4
H2BW2	GENE	0.006369427	1	0.56295878	0.631552449	9.345795794	0.600573412	340.5639027	129	7
HDAC1	GENE	0.006369427	1	0	0.714951309	5.8362728	0.439668025	320.7432388	383	5
HNF1A	GENE	0.006369427	1	0	0.726374239	2.95693297	0.085516825	323.9758167	342	11
HSPA5	GENE	0.006369427	1	0	0.686223477	3.252626267	0.130134299	278.7454472	582	3
IFNG	GENE	0.006369427	1	0.058823529	0.732640081	6.209559237	0.484758312	355.8637203	48	10
IL1B	GENE	0.012738854	2	0	0.692192971	2.479722699	0.031604044	285.0985655	554	3
JUN	GENE	0.006369427	1	0	0.735725479	5.618172643	0.425725064	361.5087594	18	10
JUND	GENE	0.006369427	1	0	0.735725479	5.618172643	0.425725064	361.5087594	29	10
KLF7	GENE	0.006369427	1	0	0.727164035	2.95693297	0.085516825	322.0191516	365	8
LRRK2	GENE	0.038216561	6	15.83333333	1.202044343	12.05872849	0.695373472	217.3654414	637	8
MAP1B	GENE	0.00990099	1	0	0.743794381	4.452504694	0.334631055	327.9373007	281	2
MAP1LC3B	GENE	0.006369427	1	0.56295878	0.631552449	9.345795794	0.600573412	340.5639027	127	7
MAPK3	GENE	0.00990099	1	0	0.710293193	1.945424267	0.016731553	297.7328306	495	3
MAPK8	GENE	0.012738854	2	3	0.840382316	3.47798893	0.179216337	324.7867655	327	5
MAPT	GENE	0.006369427	1	0	0.740865681	3.804384213	0.224946431	324.9761998	317	11
MEF2C	GENE	0.006369427	1	0	0.767680288	3.475866533	0.161738343	330.3447305	241	11
MFN2	GENE	0.006369427	1	0	0.742425632	3.447322452	0.147795383	329.9708895	250	11
MMP2	GENE	0.012738854	2	0	0.731709474	4.425146966	0.314181379	336.5698206	170	4
MSX1	GENE	0.006369427	1	0	0.723766987	1.774159782	0.009295307	320.6082301	389	8
MUTYH	GENE	0.006369427	1	0.56295878	0.631552449	9.345795794	0.600573412	340.5639027	135	7
MYOG	GENE	0.006369427	1	0.56295878	0.631552449	9.345795794	0.600573412	340.5639027	137	7
NAMPT	GENE	0.006369427	1	0	0.743156609	3.488678353	0.175681304	318.5077848	409	12
NEUROG3	GENE	0.006369427	1	0	0.726397141	2.95693297	0.085516825	312.3216711	437	10
NFE2L2	GENE	0.01910828	3	0	1.003979425	10.13042857	0.56422514	280.954778	575	2
NFKB1	GENE	0.01910828	3	57	0.768620173	7.015820313	0.623582315	341.8274019	115	3
NGF	GENE	0.006369427	1	0	0.761825024	2.95693297	0.085516825	323.6065705	344	5
NMRK1	GENE	0.006369427	1	0	0.743156609	3.488678353	0.175681304	318.5077848	410	12
NOS2	GENE	0.006369427	1	0	0.746608138	3.762674038	0.211933001	342.5056664	111	11
NPC1	GENE	0.006369427	1	0	0.712884881	5.540585936	0.408063981	338.9329982	156	9
NRF1	GENE	0.006369427	1	0	0.731348322	5.369862755	0.397839143	360.2208939	42	6
OPA1	GENE	0.01910828	3	587	0.823785592	12.74703272	0.815073688	387.4823151	3	7
OSMR	GENE	0.006369427	1	0	0.727164035	2.95693297	0.085516825	322.0191516	364	8
OXR1	GENE	0.006369427	1	0	0.692992659	3.262767002	0.133852422	341.5483476	118	7
P2RX7	GENE	0.006369427	1	0	0.632085932	3.566611156	0.209144409	293.0659612	517	6
PARK7	GENE	0.025477707	4	1430.983333	1.361832461	12.63452192	0.833117046	172.8716901	657	8
PARP1	GENE	0.031847134	5	556	1.079154995	5.198468297	0.529403954	228.5156608	623	2
PCNA	GENE	0.00990099	1	0	0.697195443	4.215085911	0.304886072	289.2683422	536	3
PI3	GENE	0.006369427	1	0	0.714951309	5.8362728	0.439668025	320.7432388	376	5
PIK3CA	GENE	0.038216561	6	3735	1.236889347	9.596185785	0.795412706	209.6462757	641	5
PINK1	GENE	0.101910828	16	37744.66667	1.468112849	25.84569791	0.970422011	143.6862532	691	8
PPARGC1A	GENE	0.01980198	2	474.5	0.702717357	12.82732244	0.808595141	386.9640578	4	7
PRAM1	GENE	0.006369427	1	0	0.714951309	5.8362728	0.439668025	320.7432388	381	5
PRKCA	GENE	0.00990099	1	0	0.743794381	4.452504694	0.334631055	327.9373007	282	2
PRKCB	GENE	0.00990099	1	0	0.743794381	4.452504694	0.334631055	327.9373007	285	2
PRKCG	GENE	0.00990099	1	0	0.743794381	4.452504694	0.334631055	327.9373007	280	2
PRKN	GENE	0.089171975	14	3398.458333	1.468036567	29.12692213	0.924066194	143.8278982	688	8
PRRT2	GENE	0.00990099	1	0	0.743794381	4.452504694	0.334631055	327.9373007	278	2
PTEN	GENE	0.101910828	16	21739.25	1.243556405	10.81360869	0.865560082	204.0468035	647	5
PTPN2	GENE	0.012738854	2	12	0.767004701	6.969504649	0.562981741	366.022679	11	2
RACGAP1	GENE	0.01910828	3	10973.59091	0.993337207	13.91009632	0.890317388	332.3042118	204	7
RAF1	GENE	0.00990099	1	0	0.697195443	4.215085911	0.304886072	289.2683422	537	3
RHOT1	GENE	0.01910828	3	25	0.939211079	9.492702868	0.677378401	311.3217632	444	11
RMDN3	GENE	0.012738854	2	0	0.965816983	7.24874854	0.49915799	293.3375918	511	4
SIRT1	GENE	0.006369427	1	0	0.739431071	2.520925983	0.033463105	325.7789638	310	8
SKIL	GENE	0.006369427	1	0	0.687788104	4.139706158	0.294661234	290.118937	528	3
SLC25A4	GENE	0.006369427	1	0.56295878	0.631552449	9.345795794	0.600573412	340.5639027	120	7
SLC6A3	GENE	0.006369427	1	0	0.699857076	3.844012861	0.245396107	306.6680471	457	3
SMARCA1	GENE	0.006369427	1	0	0.735725479	5.618172643	0.425725064	361.5087594	17	10
SMARCA2	GENE	0.006369427	1	0	0.735725479	5.618172643	0.425725064	361.5087594	21	10
SMARCA4	GENE	0.006369427	1	0	0.735725479	5.618172643	0.425725064	361.5087594	23	10
SNCA	GENE	0.114649682	18	6612.25	1.468109631	26.26956165	0.939715306	143.5495074	692	11
SOD1	GENE	0.006369427	1	0.56295878	0.631552449	9.345795794	0.600573412	340.5639027	138	7
SOD2	GENE	0.012738854	2	228	0.742519962	12.4639211	0.785531915	417.5638492	1	7
SOX11	GENE	0.006369427	1	0	0.727389921	4.139706158	0.294661234	331.3280989	225	13
SOX12	GENE	0.006369427	1	0	0.727389921	4.139706158	0.294661234	331.3280989	228	13
SOX3	GENE	0.006369427	1	0	0.735725479	5.618172643	0.425725064	361.5087594	28	10
SOX4	GENE	0.006369427	1	0	0.727389921	4.139706158	0.294661234	331.3280989	221	13
SQSTM1	GENE	0.006369427	1	0.56295878	0.631552449	9.345795794	0.600573412	340.5639027	126	7
STAT5A	GENE	0.006369427	1	0	0.727164035	2.95693297	0.085516825	322.0191516	366	8
STIL	GENE	0.006369427	1	0	0.687788104	4.139706158	0.294661234	290.118937	529	3
STOML2	GENE	0.006369427	1	0	0.751264766	3.438943552	0.141288668	313.6910369	429	8
TARDBP	GENE	0.031847134	5	1273.25	0.922366946	12.23036138	0.825330718	303.1880419	470	7
TFAM	GENE	0.006369427	1	0	0.731348322	5.369862755	0.397839143	360.2208939	35	6
TNF	GENE	0.038216561	6	673	0.935544261	15.09350609	0.830372718	334.6621442	182	6
TNS1	GENE	0.006369427	1	0	0.784432398	4.737272877	0.364376037	348.5762716	84	8
UTRN	GENE	0.006369427	1	0.56295878	0.631552449	9.345795794	0.600573412	340.5639027	134	7
VAPB	GENE	0.012738854	2	0	0.965816983	7.24874854	0.49915799	293.3375918	509	4
VDAC1	GENE	0.006369427	1	0.56295878	0.631552449	9.345795794	0.600573412	340.5639027	121	7
WDTC1	GENE	0.01910828	3	11.5	0.745229755	4.743869801	0.419073487	335.655047	172	3
ZMYM2	GENE	0.006369427	1	0	0.730784445	1.774159782	0.009295307	346.5893265	89	13
abnormalities multiple/genetics	MESH	0.006369427	1	0	0.727389921	4.139706158	0.294661234	331.3280989	227	13
acetylcysteine/pharmacology	MESH	0.01910828	3	17.33333333	0.75298316	4.113686637	0.320909411	359.9039228	43	3
acyl-coa dehydrogenases/genetics	MESH	0.006369427	1	0	0.731348322	5.369862755	0.397839143	360.2208939	40	6
acyltransferases/antagonists & inhibitors	MESH	0.006369427	1	0	0.741469228	4.539323289	0.346714954	340.2395712	149	6
adenosine triphosphate/analogs & derivatives	MESH	0.012738854	2	15	0.708122418	4.539323289	0.409003571	318.7056371	407	4
adenosine triphosphate/antagonists & inhibitors	MESH	0.012738854	2	1.5	0.700518639	2.479722699	0.033463105	309.570088	450	3
adenosine triphosphate/biosynthesis	MESH	0.006369427	1	0	0.725396794	3.213829697	0.103177909	309.6906432	447	2
adenosine triphosphate/metabolism	MESH	0.286624204	45	19960.33333	1.292158793	18.38181653	0.932872592	163.6895323	671	3
adipocytes/cytology	MESH	0.00990099	1	0	0.506634461	2.207461103	0.023238268	103.6033136	704	14
adp ribose transferases/pharmacology	MESH	0.006369427	1	0	0.695828189	3.548319564	0.203567225	298.465777	492	1
aging/genetics	MESH	0.006369427	1	0	0.712884881	5.540585936	0.408063981	338.9329982	155	9
aging/pathology	MESH	0.006369427	1	0	0.741981701	3.171287444	0.091094009	324.2091827	336	8
alleles	MESH	0.01910828	3	14	0.960422977	8.562495438	0.618399477	301.810101	473	11
alpha-chlorohydrin/toxicity	MESH	0.006369427	1	0	0.725396794	3.213829697	0.103177909	309.6906432	446	2
alpha-synuclein/antagonists & inhibitors	MESH	0.006369427	1	0	0.773334223	4.108609027	0.268634375	330.9059857	233	11
alpha-synuclein/chemistry	MESH	0.00990099	1	0	0.740009534	2.53169848	0.03904029	322.0687561	362	11
alpha-synuclein/genetics	MESH	0.082802548	13	11531.5	1.468110548	21.21224158	0.9454454	143.354117	693	11
alpha-synuclein/metabolism	MESH	0.031847134	5	362.75	1.354207065	12.36617764	0.794607917	174.7369202	655	8
